geography,CCAA,wave,period,age_group_scheme,ego_age_group,alter_age_group,ego_population_size,ego_sample_size_LFS,ego_sample_size_DCS,reciprocity,cores_LFS,cores_DCS,noncores_DCS,all_LFS_DCS,all_DCS_DCS
ccaa,Canarias,3,"[2020-12-14, 2021-01-10]",10y10y,30-39,60+,312922.32,14545,767,weighted,0.4214125729350338,0.24788879813612044,1.1657123069954676,1.5871248799305013,1.413601105131588
ccaa,Cantabria,3,"[2020-12-14, 2021-01-10]",10y10y,30-39,60+,67295.09,14545,767,none,0.3257047430949272,0.22009491815333723,1.1068417971646929,1.43254654025962,1.32693671531803
ccaa,Cantabria,3,"[2020-12-14, 2021-01-10]",10y10y,30-39,60+,67295.09,14545,767,unweighted,0.3257047430949272,0.36589609706415005,1.7808993041668615,2.1066040472617886,2.1467954012310115
ccaa,Cantabria,3,"[2020-12-14, 2021-01-10]",10y10y,30-39,60+,67295.09,14545,767,weighted,0.3257047430949272,0.3070687229564936,1.5089328260443031,1.8346375691392303,1.8160015490007968
ccaa,Castilla y León,3,"[2020-12-14, 2021-01-10]",10y10y,30-39,60+,257068.79,14545,767,none,0.3294352068175993,0.2171320854656393,1.0555650561416274,1.3850002629592266,1.2726971416072668
ccaa,Castilla y León,3,"[2020-12-14, 2021-01-10]",10y10y,30-39,60+,257068.79,14545,767,unweighted,0.3294352068175993,0.40331047704599604,1.9429223763851293,2.2723575832027287,2.3462328534311254
ccaa,Castilla y León,3,"[2020-12-14, 2021-01-10]",10y10y,30-39,60+,257068.79,14545,767,weighted,0.3294352068175993,0.3281918396380022,1.5848943999648324,1.9143296067824318,1.9130862396028345
ccaa,Castilla-La Mancha,3,"[2020-12-14, 2021-01-10]",10y10y,30-39,60+,258932.85,14545,767,none,0.26838112661255614,0.2251641176541024,1.0621424298017705,1.3305235564143267,1.287306547455873
ccaa,Castilla-La Mancha,3,"[2020-12-14, 2021-01-10]",10y10y,30-39,60+,258932.85,14545,767,unweighted,0.26838112661255614,0.32274846051643286,1.443027162504952,1.7114082891175082,1.7657756230213848
ccaa,Castilla-La Mancha,3,"[2020-12-14, 2021-01-10]",10y10y,30-39,60+,258932.85,14545,767,weighted,0.26838112661255614,0.28337545484187865,1.2893490590080599,1.557730185620616,1.5727245138499386
ccaa,Cataluña,3,"[2020-12-14, 2021-01-10]",10y10y,30-39,60+,964068.82,14545,767,none,0.26365099122280505,0.2287787029323192,1.0344094438754787,1.2980604350982838,1.263188146807798
ccaa,Cataluña,3,"[2020-12-14, 2021-01-10]",10y10y,30-39,60+,964068.82,14545,767,unweighted,0.26365099122280505,0.3244756739391692,1.4610445899233013,1.7246955811461064,1.7855202638624705
ccaa,Cataluña,3,"[2020-12-14, 2021-01-10]",10y10y,30-39,60+,964068.82,14545,767,weighted,0.2636509912228051,0.2858641787753807,1.288907262011966,1.552558253234771,1.5747714407873465
ccaa,Comunitat Valenciana,3,"[2020-12-14, 2021-01-10]",10y10y,30-39,60+,613416.87,14545,767,none,0.2932571287124855,0.22341618523799703,1.0605812396188494,1.3538383683313349,1.2839974248568464
ccaa,Comunitat Valenciana,3,"[2020-12-14, 2021-01-10]",10y10y,30-39,60+,613416.87,14545,767,unweighted,0.2932571287124855,0.33328560983578126,1.5699665944670045,1.86322372317949,1.9032522043027857
